property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,suncity vatsal valley,gwal pahari,1.38,12212.0,2,2,2,Under Construction,1130.0,0,0,0,0,0,1,High,Mid Floor
flat,conscient heritage max,sector 102,1.82,9372.0,3,4,3+,Moderately Old,1757.0,0,1,0,0,0,0,High,High Floor
flat,tulsiani easy in homes,sohna road,0.4,6723.0,2,2,3,New Property,661.0,0,0,0,0,0,0,Medium,High Floor
flat,hsiidc sidco aravali,manesar,0.86,3323.0,3,3,3+,Moderately Old,1900.0,0,1,0,0,0,0,Medium,Mid Floor
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,3,2,Relatively New,2167.0,1,0,0,0,0,0,Medium,High Floor
flat,conscient elevate,sector 59,3.78,16499.0,3,3,3,Under Construction,2550.0,0,0,0,0,0,0,Low,Mid Floor
flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,Relatively New,1315.0,0,1,0,0,0,0,High,High Floor
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,Relatively New,1466.0,0,0,1,0,0,0,High,High Floor
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2,2,0,New Property,758.0,0,0,0,0,0,0,Low,Low Floor
flat,pyramid urban homes 2,sector 86,0.42,8485.0,2,2,1,New Property,557.0,1,1,0,1,1,0,Medium,Low Floor
flat,prime habitat,sector 99,0.26,4745.0,2,2,1,Relatively New,611.0,0,0,0,0,1,0,Medium,High Floor
flat,ramsons kshitij,sector 95,0.4,5839.0,3,2,2,New Property,761.0,0,0,0,0,0,0,Low,High Floor
flat,the lions cghs,sector 56,2.05,9535.0,4,4,3,Relatively New,2000.0,0,1,0,0,1,1,Medium,High Floor
flat,sare crescent parc,sector 92,0.87,4971.0,4,4,2,Moderately Old,1584.0,0,0,1,0,0,2,High,Low Floor
flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,Relatively New,1715.0,0,1,0,0,0,0,High,High Floor
house,bhawani enclave,sector 12,0.42,8235.0,3,3,0,New Property,567.0,0,0,0,1,0,0,Low,Low Floor
flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,4,4,3,Relatively New,1975.0,1,1,0,0,0,1,High,Mid Floor
flat,the khushboo cooperative housing society ltd,sector 9,0.88,4889.0,3,3,2,Old Property,1438.0,0,0,0,0,0,1,Low,Low Floor
