Canonical_Location,Variant_Count,All_Variants
iON Digital Zone (Gurugram),2,"iON Digital Zone (Gurugram) | iON Digital Zone, Gurgaon"
Ascendas OneHub Gurgaon,2,Ascendas OneHub Gurgaon | Ascendas OneHub Gurgaon Business Park
City Square,2,City Square | Eros City Square
Arc Multi Speciality,2,Arc Multi Speciality | Arc Multi Speciality Hospital
Artemis Hospital,2,Artemis Hospital | Artemis Hospital Gurgaon
"Candor TechSpace, Sector 48",2,"Candor TechSpace, Sector 48 | Candor Techspace"
Cambridge Montessori,2,Cambridge Montessori | Cambridge Montessori Preschool
Swastik Hospital,2,Swastik Hospital | Swastik Hospital Sec 66
CK Birla Hospital,2,"CK Birla Hospital | CK Birla Hospital, Gurgaon"
Axis Bank,2,Axis Bank | Axis Bank ATM
BM College of Technology,2,BM College of Technology | BM College of Technology & Mgmt
TERI Golf Course,2,TERI Golf Course | Teri Golf Course
Ambience Mall,2,Ambience Mall | Ambience Mall New
Taj City Centre Gurugram,2,Taj City Centre Gurugram | Taj City Centre Hotel
Tau Devi Lal Sports Complex,2,Tau Devi Lal Sports Complex | Tau DeviLal Sports Complex
Badshahpur Sohna Hwy,2,Badshahpur Sohna Hwy | Badshapur Sohna Highway
Bank Of Baroda,2,Bank Of Baroda | Bank Of Baroda ATM
Basai Dhankot,2,Basai Dhankot | Basai Dhankot Railway Station
Vatika City Centre,2,Vatika City Centre | Vatika City Centre Mall
The Millenium School,2,The Millenium School | The Millennium School
St Xavier High School,2,St Xavier High School | St. Xavier's High School
Conscient One,2,Conscient One | Conscient One Mall
Yashroop Hospital,1,Yashroop Hospital
"Park Dr, DLF Phase 5",1,"Park Dr, DLF Phase 5"
The Westin Gurgaon,1,The Westin Gurgaon
The Vivekananda School,1,The Vivekananda School
Vipul Trade Business Centre,1,Vipul Trade Business Centre
"Pasco Automobiles, Alipur, Sohna",1,"Pasco Automobiles, Alipur, Sohna"
"Pathfinder Global School, Pataudi",1,"Pathfinder Global School, Pataudi"
Vedic Hospital,1,Vedic Hospital
Pathways School Gurgaon,1,Pathways School Gurgaon
Medhaam Pre School & Daycare,1,Medhaam Pre School & Daycare
Patil Station,1,Patil Station
Patli Railway Station,1,Patli Railway Station
Pawlywoof - Dog Park,1,Pawlywoof - Dog Park
Peer Baba Ki Mazar,1,Peer Baba Ki Mazar
The Sylvan Trails School,1,The Sylvan Trails School
Pathways,1,Pathways
The Westin Hotel,1,The Westin Hotel
Plaza Mall,1,Plaza Mall
"Metro Hospital, Palam Vihar",1,"Metro Hospital, Palam Vihar"
Metro Station Kankrola sec 87,1,Metro Station Kankrola sec 87
Vibrant Hospital,1,Vibrant Hospital
PNB ATM,1,PNB ATM
PVR Drive In Cinema,1,PVR Drive In Cinema
"Tulip Violet Society, Sector 69",1,"Tulip Violet Society, Sector 69"
Trident Hotel Gurgaon,1,Trident Hotel Gurgaon
Pacific D21 Mall,1,Pacific D21 Mall
Tigra Market,1,Tigra Market
Triangular Park,1,Triangular Park
Vidya Niketan Sr Sec School,1,Vidya Niketan Sr Sec School
Tomar Hospital,1,Tomar Hospital
Meditree Market,1,Meditree Market
"Pallavan PreSchool, Sohna Road",1,"Pallavan PreSchool, Sohna Road"
Medicity,1,Medicity
Phase 2 Metro Station,1,Phase 2 Metro Station
Polaris Hospital,1,Polaris Hospital
Uma Sanjeevani Health Centre,1,Uma Sanjeevani Health Centre
Radha Krishan Mandir,1,Radha Krishan Mandir
Qutub Plaza,1,Qutub Plaza
RBSM Public school,1,RBSM Public school
RHM Public School,1,RHM Public School
"The Phoenix Project, Sohna - Gurgaon Rd",1,"The Phoenix Project, Sohna - Gurgaon Rd"
Medanta Hospital,1,Medanta Hospital
RPS International School Sector 89,1,RPS International School Sector 89
The Paras World School,1,The Paras World School
Pragyanam School,1,Pragyanam School
Radisson Hotel Gurugram Sohna Road,1,Radisson Hotel Gurugram Sohna Road
Medanta Dialysis Center,1,Medanta Dialysis Center
Raghunath Bal Vidya Mandir School,1,Raghunath Bal Vidya Mandir School
The NorthCap University,1,The NorthCap University
The Nook,1,The Nook
Raheja Mall,1,Raheja Mall
The Shikshiyan School,1,The Shikshiyan School
Quality Inn Gurgaon,1,Quality Inn Gurgaon
Pushpanjali Hospital,1,Pushpanjali Hospital
Punjab National Bank,1,Punjab National Bank
Public Bazar,1,Public Bazar
The Shri Ram School Aravali,1,The Shri Ram School Aravali
Proposed Metro corridor,1,Proposed Metro corridor
The Shriram Millennium School,1,The Shriram Millennium School
The Signature Advanced Super Speciality,1,The Signature Advanced Super Speciality
The Sixth Element School,1,The Sixth Element School
Yaduvanshi Shiksha Niketan,1,Yaduvanshi Shiksha Niketan
Primamed Super Speciality Hospital,1,Primamed Super Speciality Hospital
Vistar Complex,1,Vistar Complex
Presidium School Gurgoan,1,Presidium School Gurgoan
"Medeor Hospital, Manesar",1,"Medeor Hospital, Manesar"
Yashlok Medical Centre,1,Yashlok Medical Centre
