property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_category,floor_category
flat,Ashiana Amarah,sector 22,21.72,10105.0,21494.31,5,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,Ambience Creacions,sector 53,14.73,2229.0,66083.45,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Tulip Monsella,sector ,9.48,3918.0,24196.02,4,0,0,New Property,0,1,0,0,0,Semi-Furnished,High,Low Floor
flat,,sector ,9.49,3900.0,24333.33,4,0,0,New Property,0,1,0,0,0,Semi-Furnished,High,Low Floor
flat,,sector 59,5.45,1606.0,33935.24,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Conscient Elevate,sector ,7.5,2000.0,37500.0,5,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,,sector ,4.25,3000.0,14166.67,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,Dlf Plot,sector 43,4.5,2100.0,21428.57,4,5,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,Sushant Lok,sector 106,2.2,817.0,26927.78,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,High Floor
flat,Godrej Meridien,sector 23,2.55,1250.0,20400.0,3,3,2,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Cosmos Express,sector 53,11.05,3684.0,29994.57,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Tulip Monsella,sector 43,3.5,2100.0,16666.67,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Sushant Lok Builder,sector 65,12.8,3000.0,42666.67,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Tribeca Trump Tower,sector 46,8.26,2504.0,32987.22,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Shapoorji Pallonji Dualis,sector ,1.75,1660.0,10542.17,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Bestech Park View Ananda,sector 72,4.2,1600.0,26250.0,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Tata Primanti,sector 63,9.81,2750.0,35672.73,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Emaar Palm Spr,sector 48,3.8,2076.0,18304.43,4,3,3,New Property,0,0,0,0,0,Semi-Furnished,High,Mid Floor
flat,Dlf Arbour,sector ,2.0,1000.0,20000.0,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Bestech Park View,sector 43,5.5,3500.0,15714.29,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,Emaar Greens,sector 53,6.95,2895.0,24006.91,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Sushant Lok,sector 113,5.0,2700.0,18518.52,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Parsvnath Exotica,sector 57,6.1,4300.0,14186.05,6,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,M3Mansion,sector 99,1.95,1050.0,18571.43,3,3,3,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Emaar Greens,sector 57,2.75,1800.0,15277.78,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Tulip Lemon,sector 49,4.15,1512.0,27447.09,4,4,2,New Property,0,0,0,0,0,Semi-Furnished,High,Mid Floor
flat,Huda Authority Plots,sector 33,1.45,1385.0,10469.31,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,Mid Floor
flat,,sector ,1.8,1200.0,15000.0,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Godrej Nature Plus,sector 67,3.05,2000.0,15250.0,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Emaar Greens,sector ,6.6,2200.0,30000.0,4,0,0,New Property,0,1,0,0,0,Semi-Furnished,High,High Floor
flat,Ansal Versalia,sector ,4.45,2700.0,16481.48,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Mid Floor
flat,Dlf Westend Heights,sector 67,0.71,800.0,8875.0,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,Mid Floor
flat,South,sector 80,2.79,1995.0,13984.96,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Shree Vardhman Mantra,sector 57,4.5,2500.0,18000.0,3,4,3,New Property,0,1,0,0,0,Semi-Furnished,High,High Floor
flat,Conscient Elaira,sector ,4.2,2000.0,21000.0,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Satya Legend,sector ,6.75,3078.0,21929.82,4,0,0,New Property,1,1,0,0,0,Semi-Furnished,High,Mid Floor
flat,,sector 57,4.0,2500.0,16000.0,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Mid Floor
flat,Essel Towers,sector 54,15.25,3287.0,46394.89,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,,sector 22,3.0,1300.0,23076.92,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,High Floor
flat,Salcon Verandas,sector ,2.1,1100.0,19090.91,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Ambience Creacions,sector 1,1.34,1760.0,7613.64,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Signature Dax,sector 47,3.5,2430.0,14403.29,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Manesar,sector ,6.5,2200.0,29545.45,4,0,0,New Property,0,1,0,0,0,Semi-Furnished,High,High Floor
flat,Malibu,sector 89,1.6,950.0,16842.11,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Dlf Tr,sector ,2.55,1900.0,13421.05,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Smartworld Gems,sector 46,4.1,2100.0,19523.81,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,Parsvnath Green Ville,sector 50,2.1,1376.0,15261.63,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Mid Floor
flat,,sector 106,3.0,2050.0,14634.15,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Eros Wembley,sector 113,3.76,2080.0,18076.92,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Godrej Meridien,sector ,9.8,3200.0,30625.0,4,0,0,Under Construction,0,0,0,0,0,Unfurnished,High,High Floor
flat,M3Mansion,sector 89,2.75,1750.0,15714.29,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,,sector 2,9.15,4750.0,19263.16,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Fantasy Manor,sector 76,4.45,3075.0,14471.54,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Victory,sector 95,1.51,1800.0,8388.89,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Adani Lushlands,sector 89,5.47,2500.0,21880.0,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Whitelandthe Aspen,sector 103,2.95,1364.0,21627.57,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Landmark Avana,sector 89,1.68,1350.0,12444.44,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,High Floor
flat,Godrej Zenith,sector 62,5.87,1430.0,41048.95,3,4,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Oxirich Ch,sector 63,6.58,1700.0,38705.88,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,,sector 62,3.95,2124.0,18596.99,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Emaar Urban Oasis,sector 51,3.75,2150.0,17441.86,3,0,0,New Property,1,0,0,0,0,Semi-Furnished,High,High Floor
flat,Legacy,sector 63,8.93,2200.0,40590.91,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Emaar Urban Oasis,sector 62,4.4,2262.0,19451.81,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Orchid Ivy,sector 61,4.74,1566.0,30268.2,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Tarc Ishva,sector 106,2.1,1366.0,15373.35,2,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Low,High Floor
flat,Luxury Builder,sector 32,3.9,1850.0,21081.08,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Emaar Urban Oasis,sector ,2.05,1380.0,14855.07,3,0,0,New Property,0,1,0,0,0,Semi-Furnished,Medium,High Floor
